State,Name,rep_sen,Party,Last,First,District,Handle
Utah,"Love, Mia B.",Representative,Republican,Love,Mia,Utah 4th District,RepMiaLove
New Mexico,"Lujan Grisham, Michelle",Representative,Democratic,Lujan,Grisham,New Mexico 1st District,RepLujanGrisham
New York,"Maloney, Sean Patrick",Representative,Democratic,Maloney,Sean,New York 18th District,RepSeanMaloney
Arizona,"McSally, Martha",Representative,Republican,McSally,Martha,Arizona 2nd District,RepMcSally
Illinois,"Kirk, Mark Steven",Senator,Republican,Kirk,Mark,,SenatorKirk
Florida,"Mica, John L.",Representative,Republican,Mica,John,,RepJohnMica
Kentucky,"Paul, Rand",Senator,Republican,Paul,Rand,,RandPaul
California,"Peters, Scott H.",Representative,Democratic,Peters,Scott,California 52nd District,RepScottPeters
Maine,"Pingree, Chellie",Representative,Democratic,Pingree,Chellie,Maine 1st District,chelliepingree
Washington,"Reichert, David G.",Representative,Republican,Reichert,David,Washington 8th District,davereichert
Massachusetts,"Markey, Edward J.",Senator,Democratic,Markey,Edward,,senmarkey
Illinois,"Shimkus, John",Representative,Republican,Shimkus,John,Illinois 15th District,RepShimkus
Utah,"Stewart, Chris",Representative,Republican,Stewart,Chris,Utah 2nd District,RepChrisStewart
Pennsylvania,"Toomey, Pat",Senator,Republican,Toomey,Pat,,SenToomey
Maryland,"Van Hollen, Chris",Representative,Democratic,Van,Hollen,,ChrisVanHollen
California,"Vargas, Juan",Representative,Democratic,Vargas,Juan,California 51st District,RepJuanVargas
Texas,"Flores, Bill",Representative,Republican,Flores,Bill,Texas 17th District,RepBillFlores
Florida,"Frankel, Lois",Representative,Democratic,Frankel,Lois,Florida 21st District,RepLoisFrankel
Texas,"Green, Al",Representative,Democratic,Green,Al,Texas 9th District,RepAlGreen
Washington,"Heck, Denny",Representative,Democratic,Heck,Denny,Washington 10th District,RepDennyHeck
California,"Cardenas, Tony",Representative,Democratic,Cardenas,Tony,,RepCardenas
Pennsylvania,"Doyle, Michael F.",Representative,Democratic,Doyle,Michael,,USRepMikeDoyle
North Carolina,"Butterfield, G. K.",Representative,Democratic,Butterfield,G.,,GKButterfield
Washington,"Cantwell, Maria",Senator,Democratic,Cantwell,Maria,,SenatorCantwell
Tennessee,"Corker, Bob",Senator,Republican,Corker,Bob,,BobCorker
Idaho,"Crapo, Mike",Senator,Republican,Crapo,Mike,,MikeCrapo
Washington,"DelBene, Suzan K.",Representative,Democratic,DelBene,Suzan,Washington 1st District,RepDelBene
Illinois,"Dold, Robert J.",Representative,Republican,Dold,Robert,,RepDold
Maryland,"Edwards, Donna F.",Representative,Democratic,Edwards,Donna,,repdonnaedwards
Kansas,"Huelskamp, Tim",Representative,Republican,Huelskamp,Tim,,CongHuelskamp
California,"Aguilar, Pete",Representative,Democratic,Aguilar,Pete,California 31st District,RepPeteAguilar
Rhode Island,"Whitehouse, Sheldon",Senator,Democratic,Whitehouse,Sheldon,,SenWhitehouse
Massachusetts,"Keating, William R.",Representative,Democratic,Keating,William,Massachusetts 9th District,USRepKeating
Illinois,"Kinzinger, Adam",Representative,Republican,Kinzinger,Adam,Illinois 16th District,RepKinzinger
Illinois,"Lipinski, Daniel",Representative,Democratic,Lipinski,Daniel,Illinois 3rd District,RepLipinski
California,"McNerney, Jerry",Representative,Democratic,McNerney,Jerry,California 9th District,RepMcNerney
New York,"Meeks, Gregory W.",Representative,Democratic,Meeks,Gregory,New York 5th District,GregoryMeeks
New York,"Meng, Grace",Representative,Democratic,Meng,Grace,New York 6th District,RepGraceMeng
Michigan,"Miller, Candice S.",Representative,Republican,Miller,Candice,,CandiceMiller
Oklahoma,"Mullin, Markwayne",Representative,Republican,Mullin,Markwayne,Oklahoma 2nd District,RepMullin
Pennsylvania,"Murphy, Tim",Representative,Republican,Murphy,Tim,Pennsylvania 18th District,RepTimMurphy
North Carolina,"Price, David E.",Representative,Democratic,Price,David,North Carolina 4th District,RepDavidEPrice
Kansas,"Roberts, Pat",Senator,Republican,Roberts,Pat,,SenPatRoberts
Alabama,"Roby, Martha",Representative,Republican,Roby,Martha,Alabama 2nd District,RepMarthaRoby
California,"Speier, Jackie",Representative,Democratic,Speier,Jackie,California 14th District,RepSpeier
Ohio,"Tiberi, Patrick J.",Representative,Republican,Tiberi,Patrick,,PatTiberi
California,"Valadao, David G.",Representative,Republican,Valadao,David,California 21st District,RepDavidValadao
Indiana,"Visclosky, Peter J.",Representative,Democratic,Visclosky,Peter,Indiana 1st District,RepVisclosky
Michigan,"Walberg, Tim",Representative,Republican,Walberg,Tim,Michigan 7th District,RepWalberg
New York,"Zeldin, Lee M.",Representative,Republican,Zeldin,Lee,New York 1st District,RepLeeZeldin
Ohio,"Latta, Robert E.",Representative,Republican,Latta,Robert,Ohio 5th District,boblatta
Michigan,"Lawrence, Brenda L.",Representative,Democratic,Lawrence,Brenda,Michigan 14th District,RepLawrence
West Virginia,"Manchin, Joe, III",Senator,Democratic,Manchin,Joe,,Sen_JoeManchin
California,"Matsui, Doris O.",Representative,Democratic,Matsui,Doris,California 6th District,DorisMatsui
Missouri,"McCaskill, Claire",Senator,Democratic,McCaskill,Claire,,clairecmc
California,"McClintock, Tom",Representative,Republican,McClintock,Tom,California 4th District,RepMcClintock
North Carolina,"McHenry, Patrick T.",Representative,Republican,McHenry,Patrick,North Carolina 10th District,PatrickMcHenry
Florida,"Miller, Jeff",Representative,Republican,Miller,Jeff,,RepJeffMiller
California,"Pelosi, Nancy",Representative,Democratic,Pelosi,Nancy,California 12th District,NancyPelosi
Colorado,"Tipton, Scott  R.",Representative,Republican,Tipton,Scott,Colorado 3rd District,RepTipton
Michigan,"Amash, Justin",Representative,Republican,Amash,Justin,Michigan 3rd District,justinamash
California,"Becerra, Xavier",Representative,Democratic,Becerra,Xavier,California 34th District,RepBecerra
Tennessee,"Blackburn, Marsha",Representative,Republican,Blackburn,Marsha,Tennessee 7th District,MarshaBlackburn
Guam,"Bordallo, Madeleine Z.",Representative,Democratic,Bordallo,Madeleine,Guam At-Large,NA
New Jersey,"Menendez, Robert",Senator,Democratic,Menendez,Robert,,SenatorMenendez
Texas,"Carter, John R.",Representative,Republican,Carter,John,Texas 31st District,JudgeCarter
Ohio,"Chabot, Steve",Representative,Republican,Chabot,Steve,Ohio 1st District,RepSteveChabot
Maine,"Collins, Susan M.",Senator,Republican,Collins,Susan,,SenatorCollins
Virginia,"Comstock, Barbara",Representative,Republican,Comstock,Barbara,Virginia 10th District,RepComstock
North Dakota,"Cramer, Kevin",Representative,Republican,Cramer,Kevin,North Dakota At-Large,RepKevinCramer
Illinois,"Davis, Rodney",Representative,Republican,Davis,Rodney,Illinois 13th District,RodneyDavis
Pennsylvania,"Fattah, Chaka",Representative,Democratic,Fattah,Chaka,,chakafattah
Texas,"Granger, Kay",Representative,Republican,Granger,Kay,Texas 12th District,RepKayGranger
Missouri,"Hartzler, Vicky",Representative,Republican,Hartzler,Vicky,Missouri 4th District,RepHartzler
Connecticut,"Himes, James A.",Representative,Democratic,Himes,James,,jahimes
Hawaii,"Hirono, Mazie K.",Senator,Democratic,Hirono,Mazie,,maziehirono
Florida,"Jolly, David",Representative,Republican,Jolly,David,,USRepDavidJolly
Maryland,"Mikulski, Barbara A.",Senator,Democratic,Mikulski,Barbara,,SenatorBarb
Michigan,"Dingell, Debbie",Representative,Democratic,Dingell,Debbie,Michigan 12th District,RepDebDingell
New York,"Engel, Eliot L.",Representative,Democratic,Engel,Eliot,New York 16th District,RepEliotEngel
Connecticut,"Esty, Elizabeth H.",Representative,Democratic,Esty,Elizabeth,Connecticut 5th District,RepEsty
Tennessee,"Fleischmann, Charles J. &#34;Chuck&#34;",Representative,Republican,Fleischmann,Charles,,RepChuck
Arizona,"Franks, Trent",Representative,Republican,Franks,Trent,Arizona 8th District,RepTrentFranks
California,"Honda, Michael M.",Representative,Democratic,Honda,Michael,,RepMikeHonda
North Carolina,"Hudson, Richard",Representative,Republican,Hudson,Richard,North Carolina 8th District,RepRichHudson
New York,"Israel, Steve",Representative,Democratic,Israel,Steve,,RepSteveIsrael
Oklahoma,"Cole, Tom",Representative,Republican,Cole,Tom,Oklahoma 4th District,TomColeOK04
Virginia,"Connolly, Gerald E.",Representative,Democratic,Connolly,Gerald,Virginia 11th District,GerryConnolly
Ohio,"Kaptur, Marcy",Representative,Democratic,Kaptur,Marcy,Ohio 9th District,RepMarcyKaptur
Washington,"Kilmer, Derek",Representative,Democratic,Kilmer,Derek,Washington 6th District,RepDerekKilmer
Minnesota,"Kline, John",Representative,Republican,Kline,John,,repjohnkline
New Jersey,"MacArthur, Thomas",Representative,Republican,MacArthur,Thomas,,RepTomMacArthur
Washington,"McDermott, Jim",Representative,Democratic,McDermott,Jim,,RepJimMcDermott
Texas,"Neugebauer, Randy",Representative,Republican,Neugebauer,Randy,,RandyNeugebauer
Texas,"Olson, Pete",Representative,Republican,Olson,Pete,Texas 22nd District,PeteOlson
Puerto Rico,"Pierluisi, Pedro R.",Representative,Democratic,Pierluisi,Pedro,,pedropierluisi
Illinois,"Quigley, Mike",Representative,Democratic,Quigley,Mike,Illinois 5th District,RepMikeQuigley
Illinois,"Rush, Bobby L.",Representative,Democratic,Rush,Bobby,Illinois 1st District,RepBobbyRush
Nevada,"Reid, Harry",Senator,Democratic,Reid,Harry,,SenatorReid
Nebraska,"Sasse, Ben",Senator,Republican,Sasse,Ben,,BenSasse
Florida,"DeSantis, Ron",Representative,Republican,DeSantis,Ron,Florida 6th District,RepDeSantis
Florida,"Diaz-Balart, Mario",Representative,Republican,Diaz-Balart,Mario,Florida 25th District,MarioDB
Louisiana,"Graves, Garret",Representative,Republican,Graves,Garret,Louisiana 6th District,RepGarretGraves
Missouri,"Graves, Sam",Representative,Republican,Graves,Sam,Missouri 6th District,RepSamGraves
Nevada,"Heck, Joseph J.",Representative,Republican,Heck,Joseph,,RepDennyHeck
West Virginia,"Jenkins, Evan H.",Representative,Republican,Jenkins,Evan,West Virginia 3rd District,RepEvanJenkins
Georgia,"Carter, Earl L. &#34;Buddy&#34;",Representative,Republican,Carter,Earl,,RepBuddyCarter
Rhode Island,"Cicilline, David N.",Representative,Democratic,Cicilline,David,Rhode Island 1st District,RepCicilline
Tennessee,"Cooper, Jim",Representative,Democratic,Cooper,Jim,Tennessee 5th District,repjimcooper
Illinois,"Kelly, Robin L.",Representative,Democratic,Kelly,Robin,Illinois 2nd District,RepRobinKelly
Oklahoma,"Lankford, James",Senator,Republican,Lankford,James,,SenatorLankford
California,"Lieu, Ted",Representative,Democratic,Lieu,Ted,California 33rd District,RepTedLieu
Oklahoma,"Lucas, Frank D.",Representative,Republican,Lucas,Frank,Oklahoma 3rd District,RepFrankLucas
South Dakota,"Noem, Kristi L.",Representative,Republican,Noem,Kristi,South Dakota At-Large,RepKristiNoem
Virgin Islands,"Plaskett, Stacey E.",Representative,Democratic,Plaskett,Stacey,Virgin Islands At-Large,StaceyPlaskett
Rhode Island,"Reed, Jack",Senator,Democratic,Reed,Jack,,SenJackReed
California,"Royce, Edward R.",Representative,Republican,Royce,Edward,,RepEdRoyce
Alaska,"Young, Don",Representative,Republican,Young,Don,Alaska At-Large,repdonyoung
Tennessee,"Alexander, Lamar",Senator,Republican,Alexander,Lamar,,SenAlexander
Indiana,"Bucshon, Larry",Representative,Republican,Bucshon,Larry,Indiana 8th District,RepLarryBucshon
New York,"Donovan, Daniel M., Jr.",Representative,Republican,Donovan,Daniel,New York 11th District,RepDanDonovan
South Carolina,"Duncan, Jeff",Representative,Republican,Duncan,Jeff,South Carolina 3rd District,RepJeffDuncan
California,"Garamendi, John",Representative,Democratic,Garamendi,John,California 3rd District,RepGaramendi
Washington,"Herrera Beutler, Jaime",Representative,Republican,Herrera,Beutler,Washington 3rd District,HerreraBeutler
Idaho,"Risch, James E.",Senator,Republican,Risch,James,,SenatorRisch
Texas,"Johnson, Eddie Bernice",Representative,Democratic,Johnson,Eddie,Texas 30th District,RepEBJ
Texas,"Johnson, Sam",Representative,Republican,Johnson,Sam,Texas 3rd District,SamsPressShop
Florida,"Wasserman Schultz, Debbie",Representative,Democratic,Wasserman,Schultz,Florida 23rd District,RepDWStweets
California,"Lofgren, Zoe",Representative,Democratic,Lofgren,Zoe,California 19th District,RepZoeLofgren
Indiana,"Rokita, Todd",Representative,Republican,Rokita,Todd,Indiana 4th District,ToddRokita
Maryland,"Sarbanes, John P.",Representative,Democratic,Sarbanes,John,Maryland 3rd District,RepSarbanes
California,"Sherman, Brad",Representative,Democratic,Sherman,Brad,California 30th District,BradSherman
Iowa,"Blum, Rod",Representative,Republican,Blum,Rod,Iowa 1st District,RepRodBlum
California,"Brownley, Julia",Representative,Democratic,Brownley,Julia,California 26th District,JuliaBrownley26
Illinois,"Bustos, Cheri",Representative,Democratic,Bustos,Cheri,Illinois 17th District,RepCheri
Massachusetts,"Capuano, Michael E.",Representative,Democratic,Capuano,Michael,Massachusetts 7th District,mikecapuano
Delaware,"Carney, John C., Jr.",Representative,Democratic,Carney,John,,JohnCarneyDE
California,"Costa, Jim",Representative,Democratic,Costa,Jim,California 16th District,RepJimCosta
Arkansas,"Crawford, Eric A. &#34;Rick&#34;",Representative,Republican,Crawford,Eric,,RepRickCrawford
Vermont,"Sanders, Bernard",Senator,Independent,Sanders,Bernard,,SenatorSanders
Maryland,"Harris, Andy",Representative,Republican,Harris,Andy,Maryland 1st District,RepAndyHarrisMD
Florida,"Hastings, Alcee L.",Representative,Democratic,Hastings,Alcee,Florida 20th District,RepHastingsFL
Maryland,"Hoyer, Steny H.",Representative,Democratic,Hoyer,Steny,Maryland 5th District,WhipHoyer
Florida,"Buchanan, Vern",Representative,Republican,Buchanan,Vern,Florida 16th District,VernBuchanan
Florida,"Castor, Kathy",Representative,Democratic,Castor,Kathy,Florida 14th District,USRepKCastor
New York,"Clarke, Yvette D.",Representative,Democratic,Clarke,Yvette,New York 9th District,YvetteClarke
Michigan,"Moolenaar, John R.",Representative,Republican,Moolenaar,John,Michigan 4th District,RepMoolenaar
California,"Napolitano, Grace F.",Representative,Democratic,Napolitano,Grace,California 32nd District,gracenapolitano
Pennsylvania,"Pitts, Joseph R.",Representative,Republican,Pitts,Joseph,,NA
Georgia,"Price, Tom",Representative,Republican,Price,Tom,Georgia 6th District,RepTomPrice
Hawaii,"Schatz, Brian",Senator,Democratic,Schatz,Brian,,brianschatz
Missouri,"Smith, Jason",Representative,Republican,Smith,Jason,Missouri 8th District,RepJasonSmith
Montana,"Tester, Jon",Senator,Democratic,Tester,Jon,,SenatorTester
Massachusetts,"Tsongas, Niki",Representative,Democratic,Tsongas,Niki,Massachusetts 3rd District,nikiinthehouse
South Carolina,"Wilson, Joe",Representative,Republican,Wilson,Joe,South Carolina 2nd District,RepJoeWilson
Colorado,"Bennet, Michael F.",Senator,Democratic,Bennet,Michael,,SenBennetCO
New York,"Schumer, Charles E.",Senator,Democratic,Schumer,Charles,,SenSchumer
Georgia,"Hice, Jody B.",Representative,Republican,Hice,Jody,Georgia 10th District,CongressmanHice
Michigan,"Bishop, Mike",Representative,Republican,Bishop,Mike,Michigan 8th District,RepMikeBishop
Indiana,"Carson, Andre",Representative,Democratic,Carson,Andre,,RepAndreCarson
Illinois,"Duckworth, Tammy",Representative,Democratic,Duckworth,Tammy,,SenDuckworth
Kansas,"Jenkins, Lynn",Representative,Republican,Jenkins,Lynn,Kansas 2nd District,RepLynnJenkins
Washington,"Larsen, Rick",Representative,Democratic,Larsen,Rick,Washington 2nd District,RepRickLarsen
Connecticut,"Murphy, Christopher S.",Senator,Democratic,Murphy,Christopher,,ChrisMurphyCT
Minnesota,"Peterson, Collin C.",Representative,Democratic,Peterson,Collin,Minnesota 7th District,collinpeterson
Illinois,"Roskam, Peter J.",Representative,Republican,Roskam,Peter,Illinois 6th District,PeterRoskam
Arizona,"Schweikert, David",Representative,Republican,Schweikert,David,Arizona 6th District,RepDavid
Nebraska,"Smith, Adrian",Representative,Republican,Smith,Adrian,Nebraska 3rd District,RepAdrianSmith
California,"Takano, Mark",Representative,Democratic,Takano,Mark,California 41st District,RepMarkTakano
Rhode Island,"Langevin, James R.",Representative,Democratic,Langevin,James,,JimLangevin
Alaska,"Murkowski, Lisa",Senator,Republican,Murkowski,Lisa,,lisamurkowski
Washington,"Murray, Patty",Senator,Democratic,Murray,Patty,,PattyMurray
Florida,"Nelson, Bill",Senator,Democratic,Nelson,Bill,,SenBillNelson
Wisconsin,"Pocan, Mark",Representative,Democratic,Pocan,Mark,Wisconsin 2nd District,repmarkpocan
Florida,"Posey, Bill",Representative,Republican,Posey,Bill,Florida 8th District,congbillposey
Virginia,"Rigell, E. Scott",Representative,Republican,Rigell,E.,,RepScottRigell
Tennessee,"Roe, David P.",Representative,Republican,Roe,David,,DrPhilRoe
New York,"Slaughter, Louise McIntosh",Representative,Democratic,Slaughter,Louise,New York 25th District,louiseslaughter
New Jersey,"Smith, Christopher H.",Representative,Republican,Smith,Christopher,,RepChrisSmith
Texas,"Smith, Lamar",Representative,Republican,Smith,Lamar,Texas 21st District,LamarSmithTX21
Mississippi,"Thompson, Bennie G.",Representative,Democratic,Thompson,Bennie,Mississippi 2nd District,BennieGThompson
Pennsylvania,"Barletta, Lou",Representative,Republican,Barletta,Lou,Pennsylvania 11th District,RepLouBarletta
California,"Bass, Karen",Representative,Democratic,Bass,Karen,California 37th District,RepKarenBass
Oregon,"Blumenauer, Earl",Representative,Democratic,Blumenauer,Earl,Oregon 3rd District,repblumenauer
Ohio,"Brown, Sherrod",Senator,Democratic,Brown,Sherrod,,SenSherrodBrown
Colorado,"Buck, Ken",Representative,Republican,Buck,Ken,Colorado 4th District,RepKenBuck
Texas,"Cuellar, Henry",Representative,Democratic,Cuellar,Henry,Texas 28th District,RepCuellar
Illinois,"Davis, Danny K.",Representative,Democratic,Davis,Danny,Illinois 7th District,RepDannyDavis
New York,"Gillibrand, Kirsten E.",Senator,Democratic,Gillibrand,Kirsten,,SenGillibrand
Florida,"Graham, Gwen",Representative,Democratic,Graham,Gwen,,GwenGraham
Mississippi,"Wicker, Roger F.",Senator,Republican,Wicker,Roger,,SenatorWicker
Virginia,"Wittman, Robert J.",Representative,Republican,Wittman,Robert,Virginia 1st District,RobWittman
Indiana,"Young, Todd C.",Representative,Republican,Young,Todd,,SenToddYoung
Massachusetts,"Clark, Katherine M.",Representative,Democratic,Clark,Katherine,Massachusetts 5th District,RepKClark
Connecticut,"Courtney, Joe",Representative,Democratic,Courtney,Joe,Connecticut 2nd District,RepJoeCourtney
Hawaii,"Gabbard, Tulsi",Representative,Democratic,Gabbard,Tulsi,Hawaii 2nd District,TulsiPress
Texas,"Green, Gene",Representative,Democratic,Green,Gene,Texas 29th District,RepGeneGreen
Virginia,"Griffith, H. Morgan",Representative,Republican,Griffith,H.,,RepMGriffith
North Dakota,"Heitkamp, Heidi",Senator,Democratic,Heitkamp,Heidi,,SenatorHeitkamp
Ohio,"Johnson, Bill",Representative,Republican,Johnson,Bill,Ohio 6th District,RepBillJohnson
Wisconsin,"Johnson, Ron",Senator,Republican,Johnson,Ron,,SenRonJohnson
Missouri,"Luetkemeyer, Blaine",Representative,Republican,Luetkemeyer,Blaine,Missouri 3rd District,RepBlainePress
Kentucky,"McConnell, Mitch",Senator,Republican,McConnell,Mitch,,SenateMajLdr
New York,"Nadler, Jerrold",Representative,Democratic,Nadler,Jerrold,New York 10th District,RepJerryNadler
New Jersey,"Pascrell, Bill, Jr.",Representative,Democratic,Pascrell,Bill,,BillPascrell
Alabama,"Sewell, Terri A.",Representative,Democratic,Sewell,Terri,Alabama 7th District,RepTerriSewell
Hawaii,"Takai, Mark",Representative,Democratic,Takai,Mark,,RepMarkTakai
Pennsylvania,"Thompson, Glenn",Representative,Republican,Thompson,Glenn,Pennsylvania 5th District,CongressmanGT
Nevada,"Titus, Dina",Representative,Democratic,Titus,Dina,Nevada 1st District,repdinatitus
Ohio,"Turner, Michael R.",Representative,Republican,Turner,Michael,Ohio 10th District,RepMikeTurner
Texas,"Barton, Joe",Representative,Republican,Barton,Joe,Texas 6th District,RepJoeBarton
California,"Chu, Judy",Representative,Democratic,Chu,Judy,California 27th District,RepJudyChu
Michigan,"Conyers, John, Jr.",Representative,Democratic,Conyers,John,,repjohnconyers
Texas,"Cornyn, John",Senator,Republican,Cornyn,John,,JohnCornyn
Florida,"Curbelo, Carlos",Representative,Republican,Curbelo,Carlos,Florida 26th District,RepCurbelo
California,"Davis, Susan A.",Representative,Democratic,Davis,Susan,California 53rd District,RepSusanDavis
Tennessee,"DesJarlais, Scott",Representative,Republican,DesJarlais,Scott,Tennessee 4th District,DesJarlaisTN04
Colorado,"Gardner, Cory",Senator,Republican,Gardner,Cory,,SenCoryGardner
South Carolina,"Gowdy, Trey",Representative,Republican,Gowdy,Trey,South Carolina 4th District,TGowdySC
California,"Hahn, Janice",Representative,Democratic,Hahn,Janice,,SupJaniceHahn
Mississippi,"Harper, Gregg",Representative,Republican,Harper,Gregg,Mississippi 3rd District,GreggHarper
Texas,"Vela, Filemon",Representative,Democratic,Vela,Filemon,Texas 34th District,RepFilemonVela
California,"Waters, Maxine",Representative,Democratic,Waters,Maxine,California 43rd District,MaxineWaters
New Jersey,"Watson Coleman, Bonnie",Representative,Democratic,Watson,Coleman,New Jersey 12th District,RepBWColeman
Kentucky,"Whitfield, Ed",Representative,Republican,Whitfield,Ed,,RepEdWhitfield
Florida,"Wilson, Frederica S.",Representative,Democratic,Wilson,Frederica,Florida 24th District,RepWilson
Connecticut,"Larson, John B.",Representative,Democratic,Larson,John,Connecticut 1st District,RepJohnLarson
Georgia,"Lewis, John",Representative,Democratic,Lewis,John,Georgia 5th District,repjohnlewis
New Jersey,"LoBiondo, Frank A.",Representative,Republican,LoBiondo,Frank,New Jersey 2nd District,RepLoBiondo
New Mexico,"Lujan, Ben Ray",Representative,Democratic,Lujan,Ben,New Mexico 3rd District,repbenraylujan
Kentucky,"Massie, Thomas",Representative,Republican,Massie,Thomas,Kentucky 4th District,RepThomasMassie
Washington,"Newhouse, Dan",Representative,Republican,Newhouse,Dan,Washington 4th District,RepNewhouse
New Jersey,"Pallone, Frank, Jr.",Representative,Democratic,Pallone,Frank,,FrankPallone
Florida,"Ros-Lehtinen, Ileana",Representative,Republican,Ros-Lehtinen,Ileana,Florida 27th District,RosLehtinen
Northern Mariana Islands,"Sablan, Gregorio Kilili Camacho",Representative,Democratic,Sablan,Gregorio,Northern Mariana Islands At-Large,NA
New Hampshire,"Shaheen, Jeanne",Senator,Democratic,Shaheen,Jeanne,,SenatorShaheen
North Carolina,"Tillis, Thom",Senator,Republican,Tillis,Thom,,SenThomTillis
Arizona,"McCain, John",Senator,Republican,McCain,John,,SenJohnMcCain
Washington,"McMorris Rodgers, Cathy",Representative,Republican,McMorris,Rodgers,Washington 5th District,cathymcmorris
West Virginia,"Mooney, Alexander X.",Representative,Republican,Mooney,Alexander,,RepAlexMooney
Massachusetts,"Neal, Richard E.",Representative,Democratic,Neal,Richard,Massachusetts 1st District,RepRichardNeal
North Carolina,"Pittenger, Robert",Representative,Republican,Pittenger,Robert,North Carolina 9th District,reppittenger
New York,"Rice, Kathleen M.",Representative,Democratic,Rice,Kathleen,New York 4th District,RepKathleenRice
South Dakota,"Rounds, Mike",Senator,Republican,Rounds,Mike,,SenatorRounds
Idaho,"Simpson, Michael K.",Representative,Republican,Simpson,Michael,,CongMikeSimpson
California,"Thompson, Mike",Representative,Democratic,Thompson,Mike,California 5th District,RepThompson
Missouri,"Wagner, Ann",Representative,Republican,Wagner,Ann,Missouri 2nd District,RepAnnWagner
Georgia,"Woodall, Rob",Representative,Republican,Woodall,Rob,,RepRobWoodall
Alabama,"Sessions, Jeff",Senator,Republican,Sessions,Jeff,,jeffsessions
Louisiana,"Vitter, David",Senator,Republican,Vitter,David,,DavidVitter
California,"Eshoo, Anna G.",Representative,Democratic,Eshoo,Anna,California 18th District,RepAnnaEshoo
New York,"Hanna, Richard L.",Representative,Republican,Hanna,Richard,,RepRichardHanna
Arkansas,"Hill, J. French",Representative,Republican,Hill,J.,,RepFrenchHill
Texas,"Hinojosa, Ruben",Representative,Democratic,Hinojosa,Ruben,,USRepRHinojosa
