Party	Name	Handle	Class
Republican	"Hice, Jody B."	CongressmanHice	Politician
Republican	"Bishop, Mike"	RepMikeBishop	Politician
Democratic	"Carson, Andre"	RepAndreCarson	Politician
Democratic	"Duckworth, Tammy"	SenDuckworth	Politician
Republican	"Jenkins, Lynn"	RepLynnJenkins	Politician
Democratic	"Larsen, Rick"	RepRickLarsen	Politician
Democratic	"Murphy, Christopher S."	ChrisMurphyCT	Politician
Democratic	"Peterson, Collin C."	collinpeterson	Politician
Republican	"Roskam, Peter J."	PeterRoskam	Politician
Republican	"Schweikert, David"	RepDavid	Politician
Republican	"Smith, Adrian"	RepAdrianSmith	Politician
Democratic	"Takano, Mark"	RepMarkTakano	Politician
Democratic	"Langevin, James R."	JimLangevin	Politician
Republican	"Murkowski, Lisa"	lisamurkowski	Politician
Democratic	"Murray, Patty"	PattyMurray	Politician
Democratic	"Nelson, Bill"	SenBillNelson	Politician
Democratic	"Pocan, Mark"	repmarkpocan	Politician
Republican	"Posey, Bill"	congbillposey	Politician
Republican	"Rigell, E. Scott"	RepScottRigell	Politician
Republican	"Roe, David P."	DrPhilRoe	Politician
Democratic	"Slaughter, Louise McIntosh"	louiseslaughter	Politician
Republican	"Smith, Christopher H."	RepChrisSmith	Politician
Republican	"Smith, Lamar"	LamarSmithTX21	Politician
Democratic	"Thompson, Bennie G."	BennieGThompson	Politician
Republican	"Barletta, Lou"	RepLouBarletta	Politician
Democratic	"Bass, Karen"	RepKarenBass	Politician
Democratic	"Blumenauer, Earl"	repblumenauer	Politician
Democratic	"Brown, Sherrod"	SenSherrodBrown	Politician
Republican	"Buck, Ken"	RepKenBuck	Politician
Democratic	"Cuellar, Henry"	RepCuellar	Politician
Democratic	"Davis, Danny K."	RepDannyDavis	Politician
Democratic	"Gillibrand, Kirsten E."	SenGillibrand	Politician
Democratic	"Graham, Gwen"	GwenGraham	Politician
Republican	"Wicker, Roger F."	SenatorWicker	Politician
Republican	"Wittman, Robert J."	RobWittman	Politician
Republican	"Young, Todd C."	SenToddYoung	Politician
Democratic	"Clark, Katherine M."	RepKClark	Politician
Democratic	"Courtney, Joe"	RepJoeCourtney	Politician
Democratic	"Gabbard, Tulsi"	TulsiPress	Politician
Democratic	"Green, Gene"	RepGeneGreen	Politician
Republican	"Griffith, H. Morgan"	RepMGriffith	Politician
Democratic	"Heitkamp, Heidi"	SenatorHeitkamp	Politician
Republican	"Johnson, Bill"	RepBillJohnson	Politician
Republican	"Johnson, Ron"	SenRonJohnson	Politician
Republican	"Luetkemeyer, Blaine"	RepBlainePress	Politician
Republican	"McConnell, Mitch"	SenateMajLdr	Politician
Democratic	"Nadler, Jerrold"	RepJerryNadler	Politician
Democratic	"Pascrell, Bill, Jr."	BillPascrell	Politician
Democratic	"Sewell, Terri A."	RepTerriSewell	Politician
Democratic	"Takai, Mark"	RepMarkTakai	Politician
Republican	"Thompson, Glenn"	CongressmanGT	Politician
Democratic	"Titus, Dina"	repdinatitus	Politician
Republican	"Turner, Michael R."	RepMikeTurner	Politician
Republican	"Barton, Joe"	RepJoeBarton	Politician
Democratic	"Chu, Judy"	RepJudyChu	Politician
Democratic	"Conyers, John, Jr."	repjohnconyers	Politician
Republican	"Cornyn, John"	JohnCornyn	Politician
Republican	"Curbelo, Carlos"	RepCurbelo	Politician
Democratic	"Davis, Susan A."	RepSusanDavis	Politician
Republican	"DesJarlais, Scott"	DesJarlaisTN04	Politician
Republican	"Gardner, Cory"	SenCoryGardner	Politician
Republican	"Gowdy, Trey"	TGowdySC	Politician
Democratic	"Hahn, Janice"	SupJaniceHahn	Politician
Republican	"Harper, Gregg"	GreggHarper	Politician
Democratic	"Vela, Filemon"	RepFilemonVela	Politician
Democratic	"Waters, Maxine"	MaxineWaters	Politician
Democratic	"Watson Coleman, Bonnie"	RepBWColeman	Politician
Republican	"Whitfield, Ed"	RepEdWhitfield	Politician
Democratic	"Wilson, Frederica S."	RepWilson	Politician
Democratic	"Larson, John B."	RepJohnLarson	Politician
Democratic	"Lewis, John"	repjohnlewis	Politician
Republican	"LoBiondo, Frank A."	RepLoBiondo	Politician
Democratic	"Lujan, Ben Ray"	repbenraylujan	Politician
Republican	"Massie, Thomas"	RepThomasMassie	Politician
Republican	"Newhouse, Dan"	RepNewhouse	Politician
Democratic	"Pallone, Frank, Jr."	FrankPallone	Politician
Republican	"Ros-Lehtinen, Ileana"	RosLehtinen	Politician
Democratic	"Sablan, Gregorio Kilili Camacho"	NA	Politician
Democratic	"Shaheen, Jeanne"	SenatorShaheen	Politician
Republican	"Tillis, Thom"	SenThomTillis	Politician
Republican	"McCain, John"	SenJohnMcCain	Politician
Republican	"McMorris Rodgers, Cathy"	cathymcmorris	Politician
Republican	"Mooney, Alexander X."	RepAlexMooney	Politician
Democratic	"Neal, Richard E."	RepRichardNeal	Politician
Republican	"Pittenger, Robert"	reppittenger	Politician
Democratic	"Rice, Kathleen M."	RepKathleenRice	Politician
Republican	"Rounds, Mike"	SenatorRounds	Politician
Republican	"Simpson, Michael K."	CongMikeSimpson	Politician
Democratic	"Thompson, Mike"	RepThompson	Politician
Republican	"Wagner, Ann"	RepAnnWagner	Politician
Republican	"Woodall, Rob"	RepRobWoodall	Politician
Republican	"Sessions, Jeff"	jeffsessions	Politician
Republican	"Vitter, David"	DavidVitter	Politician
Democratic	"Eshoo, Anna G."	RepAnnaEshoo	Politician
Republican	"Hanna, Richard L."	RepRichardHanna	Politician
Republican	"Hill, J. French"	RepFrenchHill	Politician
Democratic	"Hinojosa, Ruben"	USRepRHinojosa	Politician
Independent	Nate Silver	NateSilver538	Pundit
Independent	Megyn Kelly	megynkelly	Pundit
Independent	Dave Rubin	RubinReport	Pundit
Independent	John Stossel	JohnStossel	Pundit
Independent	Steven Pinker	sapinker	Pundit
Independent	Jonathan Haidt	JonHaidt	Pundit
Independent	Bill Maher	billmaher	Pundit
Independent	Thomas Friedman	tomfriedman	Pundit
Independent	Fareed Zakaria	FareedZakaria	Pundit
